Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1664200646.273574,101,1664212166,0,GPS1_Frame,42.31430435180664,-71.10480499267578,65.30000305175781,326541.90625,4686819.5,19,T
1664200647.27333,102,1664212167,0,GPS1_Frame,42.31430435180664,-71.10480499267578,65.30000305175781,326541.90625,4686819.5,19,T
1664200648.2731001,103,1664212168,0,GPS1_Frame,42.31430435180664,-71.10480499267578,65.30000305175781,326541.90625,4686819.5,19,T
1664200649.2739112,104,1664212169,0,GPS1_Frame,42.31430435180664,-71.10480499267578,65.30000305175781,326541.90625,4686819.5,19,T
1664200650.2739184,105,1664212170,0,GPS1_Frame,42.314300537109375,-71.10480499267578,65.30000305175781,326541.90625,4686819.0,19,T
1664200651.2737513,106,1664212171,0,GPS1_Frame,42.31430435180664,-71.10480499267578,65.30000305175781,326541.90625,4686819.5,19,T
1664200652.270489,107,1664212172,0,GPS1_Frame,42.31430435180664,-71.10480499267578,65.30000305175781,326541.90625,4686819.5,19,T
1664200653.2749443,108,1664212173,0,GPS1_Frame,42.31430435180664,-71.10480499267578,65.30000305175781,326541.90625,4686819.5,19,T
1664200654.2702208,109,1664212174,0,GPS1_Frame,42.314308166503906,-71.10480499267578,62.599998474121094,326541.78125,4686820.0,19,T
1664200655.2759671,110,1664212175,0,GPS1_Frame,42.314308166503906,-71.10480499267578,62.5,326541.78125,4686820.0,19,T
1664200656.2744288,111,1664212176,0,GPS1_Frame,42.314308166503906,-71.10480499267578,62.5,326541.78125,4686820.0,19,T
1664200657.274015,112,1664212177,0,GPS1_Frame,42.314308166503906,-71.10480499267578,62.5,326541.78125,4686820.0,19,T
1664200658.273298,113,1664212178,0,GPS1_Frame,42.314308166503906,-71.10480499267578,62.5,326541.78125,4686820.0,19,T
1664200659.2697403,114,1664212179,0,GPS1_Frame,42.314308166503906,-71.10480499267578,62.400001525878906,326541.78125,4686820.0,19,T
1664200660.273174,115,1664212180,0,GPS1_Frame,42.314308166503906,-71.10480499267578,62.400001525878906,326541.78125,4686820.0,19,T
1664200661.2698276,116,1664212181,0,GPS1_Frame,42.31431198120117,-71.10480499267578,59.400001525878906,326541.53125,4686820.5,19,T
1664200662.271523,117,1664212182,0,GPS1_Frame,42.3143196105957,-71.10481262207031,57.400001525878906,326541.40625,4686821.0,19,T
1664200663.2706895,118,1664212183,0,GPS1_Frame,42.31432342529297,-71.10481262207031,55.099998474121094,326541.125,4686821.5,19,T
1664200664.2770576,119,1664212184,0,GPS1_Frame,42.31432342529297,-71.10481262207031,55.099998474121094,326541.125,4686821.5,19,T
1664200665.273386,120,1664212185,0,GPS1_Frame,42.31432342529297,-71.10481262207031,55.099998474121094,326541.125,4686821.5,19,T
1664200666.2732372,121,1664212186,0,GPS1_Frame,42.31432342529297,-71.10481262207031,55.099998474121094,326541.125,4686821.5,19,T
1664200667.27255,122,1664212187,0,GPS1_Frame,42.31432342529297,-71.10481262207031,55.099998474121094,326541.125,4686821.5,19,T
1664200668.2731333,123,1664212188,0,GPS1_Frame,42.31432342529297,-71.10481262207031,55.099998474121094,326541.125,4686821.5,19,T
1664200669.2705173,124,1664212189,0,GPS1_Frame,42.31432342529297,-71.10481262207031,55.099998474121094,326541.125,4686821.5,19,T
1664200670.2700632,125,1664212190,0,GPS1_Frame,42.31432342529297,-71.10481262207031,55.099998474121094,326541.125,4686821.5,19,T
1664200671.276014,126,1664212191,0,GPS1_Frame,42.31432342529297,-71.10481262207031,54.099998474121094,326541.0,4686821.5,19,T
1664200672.2747252,127,1664212192,0,GPS1_Frame,42.31432342529297,-71.10481262207031,54.0,326541.0,4686821.5,19,T
1664200673.269827,128,1664212193,0,GPS1_Frame,42.31432342529297,-71.10482025146484,52.70000076293945,326540.71875,4686821.5,19,T
1664200674.271387,129,1664212194,0,GPS1_Frame,42.31432342529297,-71.10482025146484,52.70000076293945,326540.71875,4686821.5,19,T
1664200675.2704902,130,1664212195,0,GPS1_Frame,42.31432342529297,-71.10482025146484,52.70000076293945,326540.71875,4686821.5,19,T
1664200676.2740114,131,1664212196,0,GPS1_Frame,42.31432342529297,-71.10482025146484,52.0,326540.59375,4686821.5,19,T
1664200677.2741582,132,1664212197,0,GPS1_Frame,42.31432342529297,-71.10482025146484,52.0,326540.59375,4686821.5,19,T
1664200678.2713013,133,1664212198,0,GPS1_Frame,42.31432342529297,-71.10482025146484,52.0,326540.59375,4686821.5,19,T
1664200679.2738903,134,1664212199,0,GPS1_Frame,42.31432342529297,-71.10482025146484,51.5,326540.59375,4686821.5,19,T
1664200680.2740061,135,1664212140,0,GPS1_Frame,42.31432342529297,-71.10482025146484,51.5,326540.59375,4686821.5,19,T
1664200681.2749083,136,1664212141,0,GPS1_Frame,42.31432342529297,-71.10482025146484,51.5,326540.59375,4686821.5,19,T
1664200682.2741542,137,1664212142,0,GPS1_Frame,42.31432342529297,-71.10482025146484,51.5,326540.59375,4686821.5,19,T
1664200683.273872,138,1664212143,0,GPS1_Frame,42.31432342529297,-71.10482025146484,51.5,326540.59375,4686821.5,19,T
1664200684.2733333,139,1664212144,0,GPS1_Frame,42.31432342529297,-71.10482025146484,51.5,326540.59375,4686821.5,19,T
1664200685.2735512,140,1664212145,0,GPS1_Frame,42.31432342529297,-71.10482025146484,51.5,326540.59375,4686821.5,19,T
1664200686.275056,141,1664212146,0,GPS1_Frame,42.31432342529297,-71.10482025146484,51.5,326540.59375,4686821.5,19,T
1664200687.273221,142,1664212147,0,GPS1_Frame,42.31432342529297,-71.10482025146484,51.5,326540.59375,4686821.5,19,T
1664200688.2740097,143,1664212148,0,GPS1_Frame,42.31432342529297,-71.10482025146484,51.5,326540.59375,4686821.5,19,T
1664200689.2757604,144,1664212149,0,GPS1_Frame,42.31432342529297,-71.10482025146484,51.70000076293945,326540.71875,4686821.5,19,T
1664200690.2754683,145,1664212150,0,GPS1_Frame,42.31432342529297,-71.10482025146484,51.70000076293945,326540.71875,4686821.5,19,T
