Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter
1664199756.2706306,28,1664212177,0,GPS1_Frame,42.312469482421875,-71.10182189941406,72.0999984741211,326782.59375,4686609.5,19,T
1664199757.270177,29,1664212178,0,GPS1_Frame,42.312469482421875,-71.10183715820312,72.0,326781.09375,4686609.5,19,T
1664199758.2698672,30,1664212179,0,GPS1_Frame,42.312469482421875,-71.10186004638672,71.80000305175781,326779.4375,4686609.5,19,T
1664199759.2700768,31,1664212180,0,GPS1_Frame,42.31246566772461,-71.10189056396484,71.69999694824219,326776.8125,4686609.0,19,T
1664199760.2695389,32,1664212181,0,GPS1_Frame,42.312461853027344,-71.10191345214844,71.5999984741211,326774.75,4686609.0,19,T
1664199761.2699406,33,1664212182,0,GPS1_Frame,42.312461853027344,-71.10194396972656,71.5999984741211,326772.6875,4686609.0,19,T
1664199762.2713683,34,1664212183,0,GPS1_Frame,42.31246566772461,-71.10195922851562,71.80000305175781,326771.1875,4686609.5,19,T
1664199763.2672114,35,1664212184,0,GPS1_Frame,42.312469482421875,-71.10197448730469,71.80000305175781,326770.09375,4686610.0,19,T
1664199764.2695122,36,1664212185,0,GPS1_Frame,42.312477111816406,-71.10198211669922,71.69999694824219,326769.3125,4686610.5,19,T
1664199765.2685807,37,1664212186,0,GPS1_Frame,42.31248474121094,-71.10198974609375,71.5999984741211,326768.625,4686611.5,19,T
1664199766.2685087,38,1664212187,0,GPS1_Frame,42.312496185302734,-71.10199737548828,71.5999984741211,326767.96875,4686613.0,19,T
1664199767.2848017,39,1664212188,0,GPS1_Frame,42.312503814697266,-71.10201263427734,71.5,326767.1875,4686613.5,19,T
1664199768.2684875,40,1664212189,0,GPS1_Frame,42.3125114440918,-71.10201263427734,71.5,326766.9375,4686615.0,19,T
1664199769.268206,41,1664212190,0,GPS1_Frame,42.31251907348633,-71.10202026367188,71.4000015258789,326766.25,4686615.5,19,T
1664199770.26984,42,1664212191,0,GPS1_Frame,42.31252670288086,-71.1020278930664,71.5999984741211,326765.71875,4686616.5,19,T
1664199771.268844,43,1664212192,0,GPS1_Frame,42.31253433227539,-71.10203552246094,71.5,326765.0625,4686617.0,19,T
1664199772.2714233,44,1664212193,0,GPS1_Frame,42.312538146972656,-71.10204315185547,71.5999984741211,326764.65625,4686618.0,19,T
1664199773.2705584,45,1664212194,0,GPS1_Frame,42.31254959106445,-71.10204315185547,71.5999984741211,326764.28125,4686619.0,19,T
1664199774.2715752,46,1664212195,0,GPS1_Frame,42.31255340576172,-71.10205078125,71.4000015258789,326763.75,4686619.5,19,T
