Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,UTM_easting,UTM_northing,Zone,Letter,Quality
1665533140.1039138,342,1665461140,0,GPS1_Frame,42.3372802734375,-71.08686065673828,8.399999618530273,328083.5,4689334.0,19,T,5
1665533141.0957415,343,1665461141,0,GPS1_Frame,42.3372802734375,-71.08685302734375,8.399999618530273,328083.65625,4689334.5,19,T,5
1665533142.086564,344,1665461142,0,GPS1_Frame,42.337284088134766,-71.08685302734375,8.300000190734863,328083.71875,4689334.5,19,T,5
1665533143.0976665,345,1665461143,0,GPS1_Frame,42.33728790283203,-71.08685302734375,8.300000190734863,328083.875,4689335.0,19,T,5
1665533144.0968063,346,1665461144,0,GPS1_Frame,42.33728790283203,-71.08685302734375,8.399999618530273,328084.03125,4689335.0,19,T,5
1665533145.092714,347,1665461145,0,GPS1_Frame,42.3372917175293,-71.08685302734375,8.300000190734863,328084.15625,4689335.5,19,T,4
1665533146.1062207,348,1665461146,0,GPS1_Frame,42.33729553222656,-71.08684539794922,8.300000190734863,328084.375,4689335.5,19,T,4
1665533147.0955284,349,1665461147,0,GPS1_Frame,42.33729553222656,-71.08684539794922,8.300000190734863,328084.5625,4689336.0,19,T,4
1665533148.1044486,350,1665461148,0,GPS1_Frame,42.33729934692383,-71.08684539794922,8.300000190734863,328084.65625,4689336.0,19,T,4
1665533149.1089954,351,1665461149,0,GPS1_Frame,42.33729934692383,-71.08683776855469,8.199999809265137,328084.875,4689336.5,19,T,4
1665533150.1114268,352,1665461150,0,GPS1_Frame,42.337303161621094,-71.08683776855469,8.199999809265137,328085.09375,4689337.0,19,T,4
1665533151.1169963,353,1665461151,0,GPS1_Frame,42.33730697631836,-71.08683776855469,8.300000190734863,328085.25,4689337.0,19,T,4
1665533152.112855,354,1665461152,0,GPS1_Frame,42.33730697631836,-71.08683776855469,8.199999809265137,328085.46875,4689337.5,19,T,5
1665533153.096929,355,1665461153,0,GPS1_Frame,42.337310791015625,-71.08683013916016,8.199999809265137,328085.75,4689337.5,19,T,5
1665533154.0989382,356,1665461154,0,GPS1_Frame,42.337310791015625,-71.08683013916016,8.199999809265137,328086.0,4689337.5,19,T,4
1665533155.0973015,357,1665461155,0,GPS1_Frame,42.33731460571289,-71.08682250976562,8.199999809265137,328086.3125,4689338.0,19,T,5
1665533156.1008074,358,1665461156,0,GPS1_Frame,42.33731460571289,-71.08682250976562,8.100000381469727,328086.6875,4689338.0,19,T,5
1665533157.100741,359,1665461157,0,GPS1_Frame,42.33731460571289,-71.0868148803711,8.199999809265137,328086.96875,4689338.0,19,T,5
1665533158.1051683,360,1665461158,0,GPS1_Frame,42.33731460571289,-71.0868148803711,8.199999809265137,328087.21875,4689338.0,19,T,5
1665533159.1001542,361,1665461159,0,GPS1_Frame,42.337318420410156,-71.08680725097656,8.300000190734863,328087.46875,4689338.5,19,T,5
1665533160.090531,362,1665461160,0,GPS1_Frame,42.337318420410156,-71.08680725097656,8.399999618530273,328087.71875,4689338.5,19,T,5
1665533161.1030273,363,1665461161,0,GPS1_Frame,42.33732223510742,-71.08680725097656,8.300000190734863,328087.9375,4689338.5,19,T,5
